wikidata,label,start_date,end_date
,9th Dáil,1937-07-21,1938-05-27
,10th Dáil,1938-06-30,1943-06-26
,11th Dáil,1943-07-01,1944-06-07
,12th Dáil,1944-06-09,1948-01-12
,13th Dáil,1948-02-18,1951-05-02
,14th Dáil,1951-06-13,1954-04-24
,15th Dáil,1954-06-02,1957-02-12
,16th Dáil,1957-03-20,1961-09-01
,17th Dáil,1961-10-11,1965-03-11
,18th Dáil,1965-04-21,1969-05-22
,19th Dáil,1969-07-02,1973-02-05
,20th Dáil,1973-03-14,1977-05-25
,21st Dáil,1977-07-05,1981-05-21
,22nd Dáil,1981-06-30,1982-01-27
,23rd Dáil,1982-03-09,1982-11-04
,24th Dáil,1982-12-14,1987-01-20
,25th Dáil,1987-03-10,1989-05-25
,26th Dáil,1989-06-29,1992-11-05
,27th Dáil,1992-12-14,1997-05-15
,28th Dáil,1997-06-26,2002-04-25
,29th Dáil,2002-06-06,2007-04-26
,30th Dáil,2007-06-14,2011-02-01
,31st Dáil,2011-03-09,2016-02-03
,32nd Dáil,2016-03-10,2020-01-14
